2011 census qs402ew - accomodation type - households,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,
,,,,,,,,,,,,
population,All households,,,,,,,,,,,
units,Households,,,,,,,,,,,
date,2011,,,,,,,,,,,
,,,,,,,,,,,,
Area,All categories: Accommodation type,Unshared : Total,Unshared : Whole house or bungalow: Total,Unshared : Whole house or bungalow: Detached,Unshared : Whole house or bungalow: Semi-detached,Unshared : Whole house or bungalow: Terraced,"Unshared : Flat, maisonette or apartment: Total","Unshared : Flat, etc: Purpose-built flats or tenement","Unshared : Flat etc: Part of a converted or shared house","Unshared : Flat, etc: In commercial building",Unshared : Caravan etc,Shared 
uacounty09:Darlington,"46,670","46,552","40,423","8,209","17,835","14,379","6,099","5,053",778,268,30,118
uacounty09:County Durham,"223,803","223,755","211,091","43,114","83,225","84,752","12,436","9,941","1,306","1,189",228,48
uacounty09:Hartlepool,"40,434","40,412","35,203","6,822","13,448","14,933","5,121","4,489",330,302,88,22
uacounty09:Middlesbrough,"57,203","57,070","49,724","8,001","23,394","18,329","7,325","6,389",589,347,21,133
uacounty09:Northumberland,"138,534","138,500","123,592","35,120","50,127","38,345","14,676","11,602","2,142",932,232,34
uacounty09:Redcar and Cleveland,"59,605","59,534","54,037","10,853","26,602","16,582","5,472","4,107",911,454,25,71
uacounty09:Stockton-on-Tees,"79,159","79,091","70,800","19,489","32,983","18,328","8,228","7,080",716,432,63,68
uacounty09:Gateshead,"89,154","89,137","71,280","9,589","37,886","23,805","17,793","14,911","2,428",454,64,17
uacounty09:Newcastle upon Tyne,"117,153","116,998","80,408","9,234","40,204","30,970","36,569","29,004","6,802",763,21,155
uacounty09:North Tyneside,"91,295","91,254","70,930","9,519","38,701","22,710","20,286","16,003","3,615",668,38,41
uacounty09:South Tyneside,"67,167","67,157","53,557","5,493","28,094","19,970","13,575","10,811","2,308",456,25,10
uacounty09:Sunderland,"119,758","119,572","103,512","13,749","52,667","37,096","15,986","12,868","2,339",779,74,186
uacounty09:Blackburn with Darwen,"57,353","57,253","50,492","8,069","16,590","25,833","6,708","5,657",651,400,53,100
uacounty09:Blackpool,"64,367","64,016","49,382","5,676","24,186","19,520","14,474","9,369","4,062","1,043",160,351
uacounty09:Cheshire East,"159,441","159,344","142,477","56,685","51,914","33,878","16,202","13,418","1,706","1,078",665,97
uacounty09:Cheshire West and Chester,"141,442","141,276","124,364","42,436","51,541","30,387","16,052","13,558","1,607",887,860,166
uacounty09:Halton,"53,312","53,298","47,630","10,534","17,712","19,384","5,558","4,952",395,211,110,14
uacounty09:Warrington,"85,140","85,119","75,901","20,419","35,151","20,331","9,158","7,956",850,352,60,21
uacounty09:Cumbria,"222,042","221,723","197,634","57,115","73,391","67,128","23,106","17,348","3,707","2,051",983,319
uacounty09:Bolton,"116,371","116,168","100,114","19,294","40,787","40,033","15,977","14,192","1,066",719,77,203
uacounty09:Bury,"78,113","78,090","67,539","14,394","30,090","23,055","10,523","9,256",814,453,28,23
uacounty09:Manchester,"204,969","203,995","135,683","10,344","63,377","61,962","68,227","57,662","8,733","1,832",85,974
uacounty09:Oldham,"89,703","89,669","78,684","11,259","30,754","36,671","10,947","9,877",533,537,38,34
uacounty09:Rochdale,"87,552","87,497","74,810","13,510","29,595","31,705","12,583","11,298",749,536,104,55
uacounty09:Salford,"103,556","103,072","74,821","9,062","36,463","29,296","28,151","26,146","1,302",703,100,484
uacounty09:Stockport,"121,979","121,790","103,144","26,194","50,784","26,166","18,578","15,859","1,747",972,68,189
uacounty09:Tameside,"94,953","94,849","80,615","10,877","36,062","33,676","14,190","12,638",888,664,44,104
uacounty09:Trafford,"94,484","94,246","76,626","14,283","41,951","20,392","17,598","15,108","1,769",721,22,238
uacounty09:Wigan,"136,386","136,323","123,572","24,013","62,373","37,186","12,684","11,013",973,698,67,63
uacounty09:Lancashire,"496,299","495,633","434,054","111,118","168,109","154,827","58,223","46,134","8,230","3,859","3,356",666
uacounty09:Knowsley,"61,323","61,314","54,928","7,975","25,375","21,578","6,206","5,711",279,216,180,9
uacounty09:Liverpool,"206,515","204,604","156,862","14,735","58,297","83,830","47,703","36,357","9,058","2,288",39,"1,911"
uacounty09:Sefton,"117,930","117,386","96,235","18,291","55,240","22,704","21,118","15,729","4,339","1,050",33,544
uacounty09:St. Helens,"75,736","75,699","69,340","11,149","35,668","22,523","6,339","5,584",387,368,20,37
uacounty09:Wirral,"140,583","140,287","117,098","23,818","58,520","34,760","23,172","16,066","5,439","1,667",17,296
uacounty09:East Riding of Yorkshire,"143,032","142,917","129,886","49,480","52,383","28,023","12,673","9,351","2,077","1,245",358,115
"uacounty09:Kingston upon Hull, City of","112,596","112,398","94,208","8,043","30,853","55,312","18,114","13,882","3,073","1,159",76,198
uacounty09:North East Lincolnshire,"69,707","69,656","60,663","14,529","23,234","22,900","8,917","6,660","1,600",657,76,51
uacounty09:North Lincolnshire,"70,684","70,654","63,703","24,038","29,545","10,120","6,423","5,199",692,532,528,30
uacounty09:York,"83,552","83,265","69,134","18,539","30,170","20,425","13,975","11,431","1,866",678,156,287
uacounty09:North Yorkshire,"256,594","256,039","222,737","85,329","82,112","55,296","32,035","21,319","7,954","2,762","1,267",555
uacounty09:Barnsley,"100,734","100,602","93,150","22,554","45,973","24,623","7,407","6,272",587,548,45,132
uacounty09:Doncaster,"126,487","126,291","116,034","29,400","57,178","29,456","9,505","7,671","1,037",797,752,196
uacounty09:Rotherham,"108,293","108,241","97,278","23,100","53,410","20,768","10,952","9,687",635,630,11,52
uacounty09:Sheffield,"229,928","229,273","180,580","33,219","84,575","62,786","48,635","42,647","4,017","1,971",58,655
uacounty09:Bradford,"199,296","198,436","168,499","28,381","72,169","67,949","29,465","24,723","3,215","1,527",472,860
uacounty09:Calderdale,"88,621","88,459","75,176","12,770","24,720","37,686","13,160","11,183","1,325",652,123,162
uacounty09:Kirklees,"173,525","173,050","151,641","35,906","57,824","57,911","21,232","17,844","2,240","1,148",177,475
uacounty09:Leeds,"320,596","319,603","252,391","47,237","120,091","85,063","66,873","56,242","8,337","2,294",339,993
uacounty09:Wakefield,"140,414","140,283","124,397","29,606","62,543","32,248","15,640","13,705","1,197",738,246,131
uacounty09:Derby,"102,271","102,082","87,635","23,969","40,097","23,569","14,212","11,984","1,598",630,235,189
uacounty09:Leicester,"123,125","122,339","95,994","13,055","43,951","38,988","26,282","21,205","3,713","1,364",63,786
uacounty09:Nottingham,"126,131","125,655","94,934","18,954","39,976","36,004","30,641","25,240","4,191","1,210",80,476
uacounty09:Rutland,"15,002","14,998","13,834","7,097","4,109","2,628","1,066",807,143,116,98,4
uacounty09:Derbyshire,"332,637","332,479","304,747","106,994","130,455","67,298","26,917","21,090","3,341","2,486",815,158
uacounty09:Leicestershire,"267,434","267,284","244,770","98,918","103,661","42,191","21,438","17,540","2,150","1,748","1,076",150
uacounty09:Lincolnshire,"306,971","306,699","278,165","140,504","89,621","48,040","25,941","20,198","3,661","2,082","2,593",272
uacounty09:Northamptonshire,"287,730","287,404","253,015","86,387","93,807","72,821","33,773","28,936","3,265","1,572",616,326
uacounty09:Nottinghamshire,"334,303","334,109","302,968","120,060","128,036","54,872","29,910","24,591","3,260","2,059","1,231",194
"uacounty09:Herefordshire, County of","78,319","78,186","68,598","33,106","21,789","13,703","8,888","6,595","1,548",745,700,133
uacounty09:Shropshire,"129,674","129,585","117,100","51,489","43,922","21,689","11,599","8,347","2,033","1,219",886,89
uacounty09:Stoke-on-Trent,"107,575","107,453","95,154","15,453","48,779","30,922","12,244","10,553","1,065",626,55,122
uacounty09:Telford and Wrekin,"66,608","66,591","59,783","20,509","24,455","14,819","6,547","5,706",500,341,261,17
uacounty09:Staffordshire,"355,263","354,974","315,801","118,863","135,835","61,103","37,377","31,522","3,544","2,311","1,796",289
uacounty09:Warwickshire,"231,005","230,574","196,940","65,489","78,575","52,876","32,360","26,145","4,301","1,914","1,274",431
uacounty09:Birmingham,"410,736","408,978","310,543","45,419","143,938","121,186","98,309","82,147","11,953","4,209",126,"1,758"
uacounty09:Coventry,"128,592","127,779","104,555","13,436","35,732","55,387","23,015","20,068","1,890","1,057",209,813
uacounty09:Dudley,"129,867","129,725","112,354","28,217","63,322","20,815","17,301","14,990","1,358",953,70,142
uacounty09:Sandwell,"121,498","121,373","98,732","13,814","53,218","31,700","22,582","20,329","1,330",923,59,125
uacounty09:Solihull,"86,056","86,026","70,691","24,534","32,498","13,659","15,216","14,112",541,563,119,30
uacounty09:Walsall,"107,822","107,701","89,602","19,781","45,820","24,001","17,888","16,045",914,929,211,121
uacounty09:Wolverhampton,"102,177","101,868","80,354","16,244","46,195","17,915","21,426","18,714","1,905",807,88,309
uacounty09:Worcestershire,"239,717","239,317","205,652","80,672","80,223","44,757","31,634","25,388","4,195","2,051","2,031",400
uacounty09:Bedford,"63,812","63,521","52,775","17,736","20,982","14,057","10,183","7,724","1,970",489,563,291
uacounty09:Central Bedfordshire,"104,399","104,372","91,958","29,800","35,944","26,214","11,483","9,848",960,675,931,27
uacounty09:Luton,"74,293","73,969","58,219","9,601","30,029","18,589","15,633","13,140","1,895",598,117,324
uacounty09:Peterborough,"74,023","73,958","62,110","20,443","23,294","18,373","11,411","10,005","1,036",370,437,65
uacounty09:Southend-on-Sea,"74,678","74,217","49,808","12,202","23,812","13,794","24,376","13,647","9,451","1,278",33,461
uacounty09:Thurrock,"62,353","62,324","48,405","7,442","20,687","20,276","13,751","12,752",536,463,168,29
uacounty09:Cambridgeshire,"251,241","250,626","218,075","91,127","76,781","50,167","30,777","25,876","3,408","1,493","1,774",615
uacounty09:Essex,"581,589","581,088","484,521","177,743","182,270","124,508","92,314","81,968","6,685","3,661","4,253",501
uacounty09:Hertfordshire,"453,817","453,307","353,351","96,282","128,817","128,252","98,257","86,550","7,499","4,208","1,699",510
uacounty09:Norfolk,"372,085","371,650","325,426","145,299","109,388","70,739","44,284","36,272","5,492","2,520","1,940",435
uacounty09:Suffolk,"310,745","310,345","273,054","108,840","96,238","67,976","35,779","28,658","4,782","2,339","1,512",400
uacounty09:Camden,"97,534","94,208","14,433","1,804","3,984","8,645","79,729","50,453","26,550","2,726",46,"3,326"
uacounty09:City of London,"4,385","4,368",98,15,12,71,"4,270","3,833",145,292,0,17
uacounty09:Hackney,"101,690","99,219","21,720","1,856","4,335","15,529","77,421","58,393","16,637","2,391",78,"2,471"
uacounty09:Hammersmith and Fulham,"80,590","78,455","21,768","1,133","3,990","16,645","56,653","34,072","20,874","1,707",34,"2,135"
uacounty09:Haringey,"101,955","99,588","42,047","4,332","9,793","27,922","57,479","32,067","23,152","2,260",62,"2,367"
uacounty09:Islington,"93,556","91,932","16,700","1,044","2,723","12,933","75,174","50,913","22,000","2,261",58,"1,624"
uacounty09:Kensington and Chelsea,"78,536","75,328","13,215","1,007","2,528","9,680","62,025","40,287","20,195","1,543",88,"3,208"
uacounty09:Lambeth,"130,017","127,461","35,129","3,160","10,699","21,270","92,295","62,681","27,854","1,760",37,"2,556"
uacounty09:Lewisham,"116,091","114,856","51,879","3,771","15,328","32,780","62,925","41,459","19,692","1,774",52,"1,235"
uacounty09:Newham,"101,519","100,934","54,281","6,871","10,771","36,639","46,579","36,813","8,189","1,577",74,585
uacounty09:Southwark,"120,422","119,206","29,633","2,590","7,777","19,266","89,430","74,797","12,899","1,734",143,"1,216"
uacounty09:Tower Hamlets,"101,257","100,234","14,501","1,199","2,560","10,742","85,635","80,099","3,947","1,589",98,"1,023"
uacounty09:Wandsworth,"130,493","128,909","44,783","3,200","9,697","31,886","84,042","56,993","24,570","2,479",84,"1,584"
uacounty09:Westminster,"105,772","103,715","11,296","1,229","1,992","8,075","92,384","69,192","20,131","3,061",35,"2,057"
uacounty09:Barking and Dagenham,"69,681","69,498","48,714","2,788","13,634","32,292","20,761","18,263","1,661",837,23,183
uacounty09:Barnet,"135,916","134,997","77,803","14,774","40,777","22,252","57,027","43,172","11,493","2,362",167,919
uacounty09:Bexley,"92,604","92,502","71,203","6,759","41,361","23,083","21,280","18,571","1,539","1,170",19,102
uacounty09:Brent,"110,286","108,815","52,533","7,217","26,520","18,796","56,226","35,737","18,537","1,952",56,"1,471"
uacounty09:Bromley,"130,862","130,382","92,319","24,189","39,619","28,511","37,881","28,437","7,603","1,841",182,480
uacounty09:Croydon,"145,010","144,089","92,992","18,231","36,740","38,021","51,054","36,701","12,132","2,221",43,921
uacounty09:Ealing,"124,082","122,788","67,508","6,703","28,337","32,468","55,147","38,699","14,557","1,891",133,"1,294"
uacounty09:Enfield,"119,916","119,395","74,270","8,357","28,392","37,521","45,063","35,918","7,483","1,662",62,521
uacounty09:Greenwich,"101,045","100,240","54,611","4,297","18,988","31,326","45,583","37,848","6,796",939,46,805
uacounty09:Harrow,"84,268","84,092","58,892","9,992","33,188","15,712","25,187","18,807","5,074","1,306",13,176
uacounty09:Havering,"97,199","97,071","76,082","10,575","39,823","25,684","20,788","18,319","1,360","1,109",201,128
uacounty09:Hillingdon,"100,214","100,118","73,831","14,605","36,540","22,686","26,131","22,342","2,461","1,328",156,96
uacounty09:Hounslow,"94,902","94,411","54,323","4,450","28,005","21,868","39,939","32,918","5,846","1,175",149,491
uacounty09:Kingston upon Thames,"63,639","63,086","39,784","8,069","20,217","11,498","23,240","17,922","4,195","1,123",62,553
uacounty09:Merton,"78,757","78,463","49,259","4,536","14,485","30,238","29,176","20,762","7,272","1,142",28,294
uacounty09:Redbridge,"99,105","98,787","67,736","6,774","26,384","34,578","30,986","23,462","6,122","1,402",65,318
uacounty09:Richmond upon Thames,"79,835","79,401","47,879","6,669","19,527","21,683","31,335","21,921","7,623","1,791",187,434
uacounty09:Sutton,"78,174","77,884","50,838","8,379","22,178","20,281","27,029","22,961","2,934","1,134",17,290
uacounty09:Waltham Forest,"96,861","96,233","56,948","4,513","16,420","36,015","39,244","26,263","11,303","1,678",41,628
uacounty09:Bracknell Forest,"45,878","45,817","36,726","12,606","9,516","14,604","8,286","7,710",350,226,805,61
uacounty09:Brighton and Hove,"121,540","118,874","61,658","12,519","23,805","25,334","57,183","30,103","24,896","2,184",33,"2,666"
uacounty09:Isle of Wight,"61,085","60,926","48,510","21,269","17,848","9,393","12,036","7,810","3,352",874,380,159
uacounty09:Medway,"106,209","106,038","89,939","14,683","31,893","43,363","15,420","12,393","2,136",891,679,171
uacounty09:Milton Keynes,"98,584","98,539","83,309","28,323","28,080","26,906","15,179","13,955",850,374,51,45
uacounty09:Portsmouth,"85,473","84,845","55,745","3,572","13,542","38,631","28,964","21,928","5,873","1,163",136,628
uacounty09:Reading,"62,869","62,452","43,149","7,758","16,221","19,170","19,169","15,477","3,127",565,134,417
uacounty09:Slough,"50,766","50,568","33,772","5,089","14,270","14,413","16,753","14,906","1,491",356,43,198
uacounty09:Southampton,"98,254","97,477","59,430","13,016","25,547","20,867","37,987","32,126","4,866",995,60,777
uacounty09:West Berkshire,"62,340","62,278","53,064","21,163","20,722","11,179","8,549","7,076","1,072",401,665,62
uacounty09:Windsor and Maidenhead,"58,349","58,300","44,360","18,268","15,101","10,991","13,340","10,871","1,775",694,600,49
uacounty09:Wokingham,"60,332","60,312","53,555","27,055","17,674","8,826","6,252","5,366",612,274,505,20
uacounty09:Buckinghamshire,"200,727","200,371","168,830","71,003","60,716","37,111","30,449","25,538","3,265","1,646","1,092",356
uacounty09:East Sussex,"231,905","230,961","175,225","75,470","57,533","42,222","54,533","36,710","14,840","2,983","1,203",944
uacounty09:Hampshire,"545,254","544,878","456,812","188,278","145,975","122,559","84,154","72,198","7,622","4,334","3,912",376
uacounty09:Kent,"605,638","604,002","493,723","153,418","189,374","150,931","106,446","79,521","21,165","5,760","3,833","1,636"
uacounty09:Oxfordshire,"258,855","258,229","216,840","74,503","83,929","58,408","39,418","31,654","5,680","2,084","1,971",626
uacounty09:Surrey,"455,791","455,167","357,816","151,112","134,595","72,109","93,788","77,574","11,369","4,845","3,563",624
uacounty09:West Sussex,"345,614","344,654","269,817","103,410","91,783","74,624","72,797","58,324","11,037","3,436","2,040",960
uacounty09:Bath and North East Somerset,"73,515","73,072","57,579","16,024","20,873","20,682","15,211","9,059","5,338",814,282,443
uacounty09:Bournemouth,"82,374","80,584","42,857","26,324","11,253","5,280","37,313","24,594","10,913","1,806",414,"1,790"
"uacounty09:Bristol, City of","182,747","180,983","120,840","10,915","48,762","61,163","59,991","38,200","19,077","2,714",152,"1,764"
uacounty09:Cornwall,"230,389","229,971","199,095","88,107","58,892","52,096","27,701","18,933","6,320","2,448","3,175",418
uacounty09:Isles of Scilly,989,987,736,319,233,184,251,103,110,38,0,2
uacounty09:North Somerset,"88,227","87,933","70,291","29,547","26,694","14,050","16,755","10,595","5,449",711,887,294
uacounty09:Plymouth,"109,307","108,743","81,179","11,961","32,573","36,645","27,291","18,451","8,059",781,273,564
uacounty09:Poole,"63,530","63,348","46,621","25,368","13,313","7,940","16,681","13,937","2,108",636,46,182
uacounty09:South Gloucestershire,"107,538","107,489","95,006","28,541","36,946","29,519","11,807","9,708","1,406",693,676,49
uacounty09:Swindon,"88,360","88,242","73,269","18,974","26,184","28,111","14,782","12,998","1,334",450,191,118
uacounty09:Torbay,"59,010","58,605","41,924","13,432","14,448","14,044","16,490","10,049","5,474",967,191,405
uacounty09:Wiltshire,"194,194","194,009","171,644","68,253","60,961","42,430","20,986","16,576","3,009","1,401","1,379",185
uacounty09:Devon,"322,644","321,866","272,818","115,080","82,052","75,686","46,294","30,792","11,608","3,894","2,754",778
uacounty09:Dorset,"180,213","180,102","150,599","74,530","40,864","35,205","27,565","21,189","4,405","1,971","1,938",111
uacounty09:Gloucestershire,"254,615","253,982","216,189","78,320","87,892","49,977","35,802","26,921","6,839","2,042","1,991",633
uacounty09:Somerset,"226,989","226,738","198,013","73,866","70,415","53,732","27,235","20,285","4,917","2,033","1,490",251
uacounty09:Anglesey,"30,594","30,577","28,229","14,534","6,783","6,912","2,136","1,437",413,286,212,17
uacounty09:Gwynedd,"52,473","52,387","47,013","17,804","12,767","16,442","5,124","3,294","1,116",714,250,86
uacounty09:Conwy,"51,177","51,100","42,048","18,466","16,291","7,291","8,890","5,696","2,493",701,162,77
uacounty09:Denbighshire,"40,546","40,450","35,981","17,882","12,784","5,315","4,371","3,008",878,485,98,96
uacounty09:Flintshire,"63,781","63,734","59,268","23,978","26,399","8,891","4,181","3,276",507,398,285,47
uacounty09:Wrexham,"57,029","56,979","50,547","17,663","21,213","11,671","6,319","5,513",521,285,113,50
uacounty09:Powys,"58,345","58,301","52,984","27,895","14,635","10,454","4,833","3,244",872,717,484,44
uacounty09:Ceredigion,"31,562","31,427","27,401","15,628","7,117","4,656","3,743","2,136","1,181",426,283,135
