E06000005	North East
E06000047	North East
E06000001	North East
E06000002	North East
E06000048	North East
E06000003	North East
E06000004	North East
E08000020	North East
E08000021	North East
E08000022	North East
E08000023	North East
E08000024	North East
E06000008	North West
E06000009	North West
E06000049	North West
E06000050	North West
E06000006	North West
E06000007	North West
E07000026	North West
E07000027	North West
E07000028	North West
E07000029	North West
E07000030	North West
E07000031	North West
E08000001	North West
E08000002	North West
E08000003	North West
E08000004	North West
E08000005	North West
E08000006	North West
E08000007	North West
E08000008	North West
E08000009	North West
E08000010	North West
E07000117	North West
E07000118	North West
E07000119	North West
E07000120	North West
E07000121	North West
E07000122	North West
E07000123	North West
E07000124	North West
E07000125	North West
E07000126	North West
E07000127	North West
E07000128	North West
E08000011	North West
E08000012	North West
E08000014	North West
E08000013	North West
E08000015	North West
E06000011	Yorkshire and The Humber
E06000010	Yorkshire and The Humber
E06000012	Yorkshire and The Humber
E06000013	Yorkshire and The Humber
E06000014	Yorkshire and The Humber
E07000163	Yorkshire and The Humber
E07000164	Yorkshire and The Humber
E07000165	Yorkshire and The Humber
E07000166	Yorkshire and The Humber
E07000167	Yorkshire and The Humber
E07000168	Yorkshire and The Humber
E07000169	Yorkshire and The Humber
E08000016	Yorkshire and The Humber
E08000017	Yorkshire and The Humber
E08000018	Yorkshire and The Humber
E08000019	Yorkshire and The Humber
E08000032	Yorkshire and The Humber
E08000033	Yorkshire and The Humber
E08000034	Yorkshire and The Humber
E08000035	Yorkshire and The Humber
E08000036	Yorkshire and The Humber
E06000015	East Midlands
E06000016	East Midlands
E06000018	East Midlands
E06000017	East Midlands
E07000032	East Midlands
E07000033	East Midlands
E07000034	East Midlands
E07000035	East Midlands
E07000036	East Midlands
E07000037	East Midlands
E07000038	East Midlands
E07000039	East Midlands
E07000129	East Midlands
E07000130	East Midlands
E07000131	East Midlands
E07000132	East Midlands
E07000133	East Midlands
E07000134	East Midlands
E07000135	East Midlands
E07000136	East Midlands
E07000137	East Midlands
E07000138	East Midlands
E07000139	East Midlands
E07000140	East Midlands
E07000141	East Midlands
E07000142	East Midlands
E07000150	East Midlands
E07000151	East Midlands
E07000152	East Midlands
E07000153	East Midlands
E07000154	East Midlands
E07000155	East Midlands
E07000156	East Midlands
E07000170	East Midlands
E07000171	East Midlands
E07000172	East Midlands
E07000173	East Midlands
E07000174	East Midlands
E07000175	East Midlands
E07000176	East Midlands
E06000019	West Midlands
E06000051	West Midlands
E06000021	West Midlands
E06000020	West Midlands
E07000192	West Midlands
E07000193	West Midlands
E07000194	West Midlands
E07000195	West Midlands
E07000196	West Midlands
E07000197	West Midlands
E07000198	West Midlands
E07000199	West Midlands
E07000218	West Midlands
E07000219	West Midlands
E07000220	West Midlands
E07000221	West Midlands
E07000222	West Midlands
E08000025	West Midlands
E08000026	West Midlands
E08000027	West Midlands
E08000028	West Midlands
E08000029	West Midlands
E08000030	West Midlands
E08000031	West Midlands
E07000234	West Midlands
E07000235	West Midlands
E07000236	West Midlands
E07000237	West Midlands
E07000238	West Midlands
E07000239	West Midlands
E06000055	East
E06000056	East
E06000032	East
E06000031	East
E06000033	East
E06000034	East
E07000008	East
E07000009	East
E07000010	East
E07000011	East
E07000012	East
E07000066	East
E07000067	East
E07000068	East
E07000069	East
E07000070	East
E07000071	East
E07000072	East
E07000073	East
E07000074	East
E07000075	East
E07000076	East
E07000077	East
E07000095	East
E07000096	East
E07000097	East
E07000098	East
E07000099	East
E07000100	East
E07000101	East
E07000102	East
E07000103	East
E07000104	East
E07000143	East
E07000144	East
E07000145	East
E07000146	East
E07000147	East
E07000148	East
E07000149	East
E07000200	East
E07000201	East
E07000202	East
E07000203	East
E07000204	East
E07000205	East
E07000206	East
E09000007	London
E09000001	London
E09000012	London
E09000013	London
E09000014	London
E09000019	London
E09000020	London
E09000022	London
E09000023	London
E09000025	London
E09000028	London
E09000030	London
E09000032	London
E09000033	London
E09000002	London
E09000003	London
E09000004	London
E09000005	London
E09000006	London
E09000008	London
E09000009	London
E09000010	London
E09000011	London
E09000015	London
E09000016	London
E09000017	London
E09000018	London
E09000021	London
E09000024	London
E09000026	London
E09000027	London
E09000029	London
E09000031	London
E06000036	South East
E06000043	South East
E06000046	South East
E06000035	South East
E06000042	South East
E06000044	South East
E06000038	South East
E06000039	South East
E06000045	South East
E06000037	South East
E06000040	South East
E06000041	South East
E07000004	South East
E07000005	South East
E07000006	South East
E07000007	South East
E07000061	South East
E07000062	South East
E07000063	South East
E07000064	South East
E07000065	South East
E07000084	South East
E07000085	South East
E07000086	South East
E07000087	South East
E07000088	South East
E07000089	South East
E07000090	South East
E07000091	South East
E07000092	South East
E07000093	South East
E07000094	South East
E07000105	South East
E07000106	South East
E07000107	South East
E07000108	South East
E07000109	South East
E07000110	South East
E07000111	South East
E07000112	South East
E07000113	South East
E07000114	South East
E07000115	South East
E07000116	South East
E07000177	South East
E07000178	South East
E07000179	South East
E07000180	South East
E07000181	South East
E07000207	South East
E07000208	South East
E07000209	South East
E07000210	South East
E07000211	South East
E07000212	South East
E07000213	South East
E07000214	South East
E07000215	South East
E07000216	South East
E07000217	South East
E07000223	South East
E07000224	South East
E07000225	South East
E07000226	South East
E07000227	South East
E07000228	South East
E07000229	South East
E06000022	South West
E06000028	South West
E06000023	South West
E06000052	South West
E06000053	South West
E06000024	South West
E06000026	South West
E06000029	South West
E06000025	South West
E06000030	South West
E06000027	South West
E06000054	South West
E07000040	South West
E07000041	South West
E07000042	South West
E07000043	South West
E07000044	South West
E07000045	South West
E07000046	South West
E07000047	South West
E07000048	South West
E07000049	South West
E07000050	South West
E07000051	South West
E07000052	South West
E07000053	South West
E07000078	South West
E07000079	South West
E07000080	South West
E07000081	South West
E07000082	South West
E07000083	South West
E07000187	South West
E07000188	South West
E07000189	South West
E07000190	South West
E07000191	South West
W06000001	Wales
W06000002	Wales
W06000003	Wales
W06000004	Wales
W06000005	Wales
W06000006	Wales
W06000023	Wales
W06000008	Wales
W06000009	Wales
W06000010	Wales
W06000011	Wales
W06000012	Wales
W06000013	Wales
W06000014	Wales
W06000015	Wales
W06000016	Wales
W06000024	Wales
W06000018	Wales
W06000019	Wales
W06000020	Wales
W06000021	Wales
W06000022	Wales
